DateTime,price,url,model,year,odometer,condition,cylinders,drive,fuel,paint color,size,title status,transmission,type,VIN,engine displacement (CC),make / manufacturer,model name / number,size / dimensions
"
2021-12-1721:13
",20,https://losangeles.craigslist.org/sfv/mpo/d/sylmar-honda-ducati-triumph-ktm-kawi/7422218590.html,,,,,,,,,,,,,,0,0,0,0
"
2021-12-1716:37
",11899,https://losangeles.craigslist.org/lgb/mcd/d/lemon-grove-2018-triumph-bonneville/7422154765.html,2018 Triumph Bonneville Bobber Black,2018,2929,like new,,,gas,black,,clean,manual,bobber,SMTD53HL7JT881980,1200,0,0,0
"
2021-12-1714:51
",9500,https://losangeles.craigslist.org/sgv/mcy/d/monrovia-custom-triumph-100/7422116350.html,2014 triumph bonneville t100,2014,2263,like new,,,gas,brown,,clean,manual,cafe racer,SMT910K16ET621938,900,0,0,0
"
2021-12-1712:34
",4390,https://losangeles.craigslist.org/lgb/bfd/d/los-angeles-nsf-countertop-free/7422056330.html,,,,new,,,,,,,,,,0,Chef AAA,Brand New,Free Shipping
"
2021-12-1711:50
",980,https://losangeles.craigslist.org/lac/bfd/d/los-angeles-nsf-lb-heavy-duty-s-deep/7422034895.html,,,,new,,,,,,,,,,0,Chef AAA,Manufacture Warranty,Free Shipping
"
2021-12-1710:19
",35,https://losangeles.craigslist.org/sfv/mpo/d/studio-city-triumph-parts-for/7421987680.html,,,,,,,,,,,,,,0,0,0,0
"
2021-12-1710:19
",40,https://losangeles.craigslist.org/sfv/mpo/d/studio-city-triumph-thruxton-bonneville/7421987531.html,,,,,,,,,,,,,,0,0,0,0
"
2021-12-1710:17
",0,https://losangeles.craigslist.org/wst/mpo/d/los-angeles-triumph-bonneville-early/7421986149.html,,,,,,,,,,,,,,0,0,0,0
"
2021-12-1709:16
",4239,https://losangeles.craigslist.org/lgb/bfd/d/los-angeles-nsf-convection-oven-single/7421952416.html,,,,new,,,,,,,,,,0,Chef AAA,Brand New,Free Shipping
"
2021-12-0321:29
",0,https://losangeles.craigslist.org/wst/mpo/d/torrance-new-triumph-650-harman-and/7416228864.html,,,,new,,,,,,,,,,0,Triuph,0,0
"
2021-12-1705:04
",300,https://losangeles.craigslist.org/sfv/mpo/d/winnetka-nos-triumph-mcm-desert-sled/7421843854.html,,,,,,,,,,,,,,0,0,0,0
"
2021-11-3015:04
",2000,https://losangeles.craigslist.org/sfv/pts/d/northridge-triumph-tr8-suspension-rear/7414765114.html,,,,,,,,,,,,,,0,0,0,0
"
2021-12-1613:41
",1738,https://losangeles.craigslist.org/lgb/bfd/d/los-angeles-nsf-commercial-chef-base/7421665295.html,,,,new,,,,,,,,,,0,Chef AAA,FREE SHIPPING,BRAND NEW
"
2021-12-1611:53
",750,https://losangeles.craigslist.org/lac/bfd/d/los-angeles-nsf-commercial-broilers/7421613427.html,,,,new,,,,,,,,,,0,Chef AAA,Manufacture Warranty,Brand New
"
2021-12-1611:07
",1645,https://losangeles.craigslist.org/lgb/bfd/d/nsf-beer-dispenser-commercial/7421589910.html,,,,new,,,,,,,,,,0,Chef AAA,Brand New,Free Shipping
"
2021-12-1609:56
",20,https://losangeles.craigslist.org/sfv/mpo/d/studio-city-triumph-motorcycle-emblem/7421552083.html,,,,,,,,,,,,,,0,0,0,0
"
2021-12-1516:51
",2616,https://losangeles.craigslist.org/sfv/bfd/d/los-angeles-nsf-glass-back-bar-cooler2/7421320562.html,,,,new,,,,,,,,,,0,Chef AAA,Manufacture Warranty,Brand New
"
2021-12-1514:45
",1440,https://losangeles.craigslist.org/lgb/bfd/d/los-angeles-nsf-one-two-three-door/7421274226.html,,,,new,,,,,,,,,,0,Chef AAA,FREE SHIPPING,BRAND NEW
"
2021-12-1513:54
",1600,https://losangeles.craigslist.org/lgb/bfd/d/nsf-one-two-three-door-stainless-steel/7421251632.html,,,,new,,,,,,,,,,0,Chef AAA,Brand New,Free Shipping
